Attendance,Hours_Studied,Prev_GPA,Quiz_Avg,Midterm_Score,Assignment_Avg,Presentation_Marks,Internal_Marks,Final_Score,Total_Weighted,Grade,GPA_Points
88.0,5,2.48,57.51,63.63,79.82,60.01,90.67,68.34,67.39,C+,2.3
80.3,7,2.98,67.39,66.48,76.81,69.35,50.54,63.47,65.79,C+,2.3
89.8,4,3.01,61.69,100.0,79.75,63.07,71.23,65.35,75.08,B,3.0
100.0,6,3.28,71.1,85.27,93.9,79.31,78.74,70.14,77.33,B+,3.3
79.2,1,2.18,66.13,100.0,90.67,88.89,69.56,76.54,82.52,A-,3.7
79.2,8,3.36,91.52,64.01,91.81,63.08,81.49,88.32,81.47,B+,3.3
100.0,8,1.5,68.78,65.24,80.82,89.61,82.15,57.99,66.5,C+,2.3
91.2,4,2.62,50.62,46.09,98.38,58.33,73.9,60.07,59.59,C,2.0
76.4,10,2.71,94.58,57.53,79.73,60.22,72.33,62.79,68.29,B-,2.7
88.5,11,3.38,69.51,100.0,100.0,94.8,76.36,86.79,88.7,A,4.0
76.4,1,3.01,71.5,57.03,74.92,86.97,63.82,72.0,68.81,B-,2.7
76.4,4,2.16,77.78,94.79,82.25,84.41,82.11,82.18,84.78,A-,3.7
84.9,4,2.41,75.92,46.04,77.57,47.25,63.88,39.73,52.1,D+,1.3
59.0,4,3.12,89.59,49.32,78.51,62.79,85.03,53.49,62.41,C,2.0
61.3,11,2.95,84.82,65.17,79.1,90.44,77.9,83.3,78.66,B+,3.3
75.3,7,2.65,62.11,67.01,97.17,73.78,67.73,66.21,69.34,B-,2.7
69.8,6,2.71,100.0,81.79,71.22,52.69,82.68,61.39,73.9,B,3.0
85.8,1,3.42,77.88,75.17,72.08,81.21,64.78,57.37,67.93,B-,2.7
71.1,10,2.69,74.66,63.21,100.0,62.0,85.8,75.13,74.44,B,3.0
65.1,3,2.95,86.87,63.28,90.14,100.0,75.39,75.69,76.91,B,3.0
99.6,8,4.0,87.3,71.45,60.94,100.0,75.21,72.71,74.9,B,3.0
79.3,9,2.15,80.82,53.2,74.05,83.7,82.23,85.98,75.52,B,3.0
82.8,13,1.89,100.0,55.73,61.2,99.44,84.59,75.33,74.39,B,3.0
64.9,2,3.47,69.64,83.22,68.36,72.94,89.98,66.45,72.81,B,3.0
75.5,1,2.59,65.84,34.36,38.95,82.39,84.14,34.91,44.65,F,0.0
83.3,8,2.81,78.92,96.05,81.53,100.0,84.05,70.89,81.56,B+,3.3
68.2,15,2.53,95.51,66.95,71.74,81.86,63.65,76.49,76.11,B,3.0
86.5,12,2.84,57.81,61.05,87.13,73.82,100.0,61.71,66.02,C+,2.3
74.8,8,3.96,51.44,85.76,67.42,48.24,61.27,86.87,76.12,B,3.0
78.5,6,3.48,69.16,94.73,84.96,74.47,91.26,92.91,88.01,A,4.0
74.8,11,3.52,56.75,92.14,82.28,94.08,87.3,86.05,83.26,A-,3.7
100.0,4,2.15,67.03,74.43,97.42,88.42,56.96,53.42,67.04,C+,2.3
81.8,9,2.31,83.26,86.11,98.66,82.8,73.98,70.44,79.9,B+,3.3
69.3,10,1.5,58.57,37.47,87.35,60.19,70.83,62.86,58.58,C,2.0
91.9,12,2.51,58.23,64.28,81.71,42.05,97.91,59.26,63.68,C+,2.3
67.3,19,3.57,87.35,64.73,100.0,75.4,76.32,90.98,83.26,A-,3.7
84.5,9,3.31,92.93,92.58,67.35,72.51,76.32,84.92,85.23,A-,3.7
58.5,5,2.87,47.41,59.69,61.99,65.2,40.13,53.9,55.06,C-,1.7
66.1,7,2.99,87.77,82.0,80.46,84.6,99.76,68.93,78.5,B+,3.3
84.4,1,2.59,83.76,73.07,100.0,100.0,56.51,65.9,75.02,B,3.0
90.9,5,3.12,91.38,56.27,80.64,77.29,81.65,65.67,70.06,B-,2.7
84.1,6,3.46,96.73,62.06,82.25,72.55,77.03,78.51,77.13,B,3.0
80.6,5,2.03,100.0,85.38,60.38,65.01,70.31,61.92,73.92,B,3.0
78.4,8,3.18,72.82,58.75,95.51,78.4,89.5,63.69,69.03,B-,2.7
64.3,4,3.56,77.11,70.47,92.91,58.56,98.87,69.26,74.05,B,3.0
73.4,12,2.75,72.49,59.22,94.21,78.9,82.26,74.54,72.98,B,3.0
76.5,8,3.42,78.96,66.91,77.38,85.04,88.1,60.47,69.15,B-,2.7
94.7,7,4.0,100.0,74.63,79.89,84.14,86.97,63.48,75.6,B,3.0
86.1,6,2.94,56.39,57.04,67.05,82.81,90.82,65.25,64.21,C+,2.3
60.8,8,3.24,63.72,54.27,83.65,82.45,70.16,46.18,57.6,C-,1.7
85.9,11,2.56,99.19,76.11,71.57,44.64,93.59,86.89,82.73,A-,3.7
77.4,4,3.11,90.28,54.46,66.85,84.44,90.53,59.98,66.58,C+,2.3
73.9,5,3.28,70.56,56.04,76.93,61.93,91.17,44.82,57.87,C-,1.7
89.3,6,3.12,90.43,55.59,77.74,55.88,68.37,57.28,64.36,C+,2.3
94.4,2,2.39,77.52,64.15,71.94,50.52,70.04,61.78,65.6,C+,2.3
93.2,4,3.12,99.1,84.7,88.2,82.4,79.95,71.16,81.44,B+,3.3
71.9,6,3.88,80.03,96.01,85.86,72.9,59.72,80.03,83.24,A-,3.7
78.3,11,3.27,95.99,62.0,83.15,48.33,100.0,78.76,77.13,B,3.0
86.0,9,3.58,100.0,100.0,89.42,87.82,81.05,86.06,91.81,A,4.0
93.7,8,2.86,87.38,55.33,72.51,50.5,82.38,52.92,62.0,C,2.0
76.2,11,3.45,81.86,91.46,88.38,81.64,73.04,79.32,83.44,A-,3.7
79.8,7,3.17,88.4,59.01,85.37,79.85,58.98,79.67,75.36,B,3.0
68.7,9,2.43,69.41,53.96,62.85,88.83,66.43,75.72,68.24,B-,2.7
67.6,7,3.19,100.0,57.5,94.37,100.0,79.49,49.44,67.56,C+,2.3
91.8,9,2.4,79.78,69.24,72.5,50.52,86.51,77.43,74.35,B,3.0
98.3,5,2.62,71.72,78.09,82.89,72.87,78.08,70.63,74.37,B,3.0
81.1,1,3.11,60.71,76.97,93.22,66.28,78.1,74.2,74.57,B,3.0
94.0,7,3.18,95.48,56.92,96.13,84.83,74.3,62.35,71.06,B-,2.7
86.3,13,2.29,91.9,56.06,85.3,80.77,85.84,50.86,65.0,C+,2.3
74.3,11,3.63,74.19,59.98,83.3,73.3,100.0,75.29,73.23,B,3.0
86.3,11,3.34,90.34,72.91,99.06,71.75,91.56,67.98,77.04,B,3.0
100.0,12,2.58,58.09,70.36,94.82,58.62,92.05,55.44,65.49,C+,2.3
81.6,8,2.08,76.85,51.88,72.66,89.86,78.2,45.96,58.55,C,2.0
100.0,8,2.91,86.03,76.55,75.7,85.51,58.2,77.57,77.82,B+,3.3
50.6,5,2.73,97.09,100.0,52.61,86.0,56.85,78.94,83.54,A-,3.7
91.9,6,3.07,66.11,62.59,85.52,70.08,84.04,71.21,70.31,B-,2.7
83.0,10,2.78,59.24,64.48,83.43,64.6,78.27,71.31,69.02,B-,2.7
78.4,12,1.8,62.01,77.39,95.07,54.03,81.6,65.84,71.27,B-,2.7
83.1,7,2.77,56.24,60.35,86.6,80.75,99.76,61.73,65.9,C+,2.3
58.1,6,2.82,93.34,76.99,95.3,52.57,83.45,67.57,76.61,B,3.0
79.4,8,3.38,100.0,60.56,76.69,100.0,96.68,69.08,75.27,B,3.0
86.3,10,2.58,82.75,100.0,97.61,52.41,79.28,73.04,82.97,A-,3.7
99.7,2,4.0,97.69,77.89,79.02,82.3,68.07,76.63,80.2,B+,3.3
75.8,1,1.85,69.69,50.76,83.01,93.88,66.87,63.22,64.77,C+,2.3
72.3,5,3.79,76.46,61.47,66.38,86.67,66.62,55.42,63.31,C+,2.3
76.0,3,2.87,68.18,57.96,82.0,74.34,95.0,72.32,70.31,B-,2.7
93.0,5,3.52,74.22,93.84,61.06,59.45,89.95,75.93,78.54,B+,3.3
85.9,7,3.05,54.47,50.39,80.48,50.82,84.98,58.45,58.99,C,2.0
75.6,6,3.68,82.44,60.79,89.76,90.34,95.78,51.67,66.52,C+,2.3
88.2,13,2.77,80.39,65.01,80.75,100.0,52.72,52.38,64.97,C+,2.3
83.2,9,2.34,87.16,68.73,69.37,66.08,84.21,69.06,72.33,B-,2.7
93.6,9,3.85,84.46,71.72,99.21,60.56,64.71,81.82,79.51,B+,3.3
73.6,10,2.93,75.64,47.22,82.84,31.83,77.98,52.12,57.77,C-,1.7
78.1,3,3.13,61.36,61.03,74.56,54.78,70.07,74.09,67.8,B-,2.7
77.3,12,3.74,84.17,74.5,89.59,79.04,92.35,85.65,83.04,A-,3.7
64.4,7,2.38,83.93,55.81,100.0,99.64,76.05,55.82,67.65,C+,2.3
85.6,10,3.36,63.85,84.99,100.0,91.12,99.83,79.33,82.1,A-,3.7
85.1,3,2.65,74.52,80.92,93.16,76.7,64.78,93.58,85.23,A-,3.7
82.1,1,2.92,76.09,64.34,83.82,63.39,82.52,48.45,62.55,C,2.0
79.2,11,3.04,69.01,76.47,87.78,67.28,82.05,78.32,77.04,B,3.0
65.0,9,2.1,64.38,31.62,50.45,96.5,50.31,43.46,47.33,F,0.0
77.0,4,2.53,76.08,58.88,70.47,74.23,59.76,65.11,65.92,C+,2.3
77.9,4,3.81,60.83,86.91,78.06,37.98,75.73,82.58,77.37,B+,3.3
72.4,12,3.53,87.01,67.99,65.26,67.64,97.33,68.98,72.42,B-,2.7
80.1,3,2.96,60.52,55.15,66.06,56.5,80.44,65.43,62.49,C,2.0
86.8,14,3.15,99.02,100.0,65.31,71.25,66.73,100.0,93.28,A,4.0
100.0,4,2.82,100.0,98.19,81.62,84.21,74.12,81.07,88.05,A,4.0
84.1,10,3.81,69.74,83.13,98.48,78.72,100.0,87.37,84.98,A-,3.7
85.1,6,2.88,84.24,87.45,95.51,72.85,77.79,70.5,79.78,B+,3.3
81.1,10,3.14,68.77,37.06,90.65,100.0,75.09,58.5,60.8,C,2.0
59.0,5,3.69,91.77,56.56,70.6,61.62,83.04,61.89,66.96,C+,2.3
81.7,7,2.53,56.21,60.67,58.01,100.0,85.88,67.34,65.63,C+,2.3
82.7,8,3.94,88.84,70.85,66.55,67.55,75.24,83.36,78.18,B+,3.3
100.0,3,2.08,59.33,57.58,63.19,72.03,79.46,52.18,58.06,C-,1.7
79.7,10,3.98,79.79,35.09,78.22,75.83,78.29,74.32,66.0,C+,2.3
85.6,5,2.78,59.71,74.36,79.26,75.4,85.25,80.66,75.77,B,3.0
81.6,7,2.85,88.8,78.16,70.29,82.46,78.84,80.52,80.16,B+,3.3
68.0,4,1.87,56.53,87.71,79.15,74.89,75.83,61.53,70.47,B-,2.7
95.7,1,2.73,81.47,53.58,76.4,57.63,62.56,48.76,58.77,C,2.0
91.0,7,2.38,70.36,54.6,81.65,53.31,64.02,49.5,58.03,C-,1.7
91.5,17,2.64,81.89,33.73,100.0,100.0,96.85,74.46,70.34,B-,2.7
71.1,11,2.92,80.71,66.79,70.33,67.78,77.38,56.55,65.71,C+,2.3
98.8,7,3.57,69.63,88.48,92.08,91.65,85.05,84.82,84.54,A-,3.7
65.2,6,3.12,78.36,58.41,81.03,44.26,70.91,50.47,60.41,C,2.0
89.0,8,3.18,100.0,100.0,81.22,72.19,91.8,93.51,93.72,A,4.0
100.0,10,2.34,66.69,67.25,94.98,74.07,69.85,67.12,70.36,B-,2.7
70.1,3,2.47,88.57,66.34,87.54,77.5,69.09,77.67,77.02,B,3.0
75.2,12,4.0,100.0,55.11,78.56,32.92,94.92,81.71,75.71,B,3.0
83.2,10,2.56,65.32,75.16,81.37,78.55,93.98,84.87,79.3,B+,3.3
76.0,10,3.99,60.73,43.89,91.93,59.86,75.23,74.7,65.91,C+,2.3
63.4,9,2.85,80.57,80.14,78.76,79.88,100.0,76.32,79.52,B+,3.3
82.8,8,3.0,69.67,82.47,90.9,57.23,82.27,61.42,71.7,B-,2.7
69.3,10,3.64,100.0,95.24,89.86,63.09,65.89,74.61,84.09,A-,3.7
87.7,10,3.76,83.33,59.49,100.0,75.88,87.98,50.52,65.77,C+,2.3
71.0,6,2.93,62.99,70.59,62.66,54.08,69.66,51.12,60.0,C,2.0
100.0,5,2.77,59.37,78.6,81.11,66.02,82.66,67.25,71.0,B-,2.7
72.6,8,2.97,93.09,76.82,71.84,53.26,76.14,66.17,73.29,B,3.0
78.1,14,3.2,73.84,61.57,95.66,47.41,83.45,68.51,69.98,B-,2.7
91.8,3,3.53,78.06,32.13,63.99,93.72,64.64,54.88,56.01,C-,1.7
67.2,2,3.0,86.46,70.67,82.28,46.79,85.98,62.06,70.33,B-,2.7
84.7,8,3.37,72.29,70.11,77.99,74.33,63.36,56.78,65.77,C+,2.3
97.7,8,3.98,82.6,67.22,80.48,94.84,67.77,70.88,73.72,B,3.0
62.7,8,3.23,76.54,82.01,65.43,63.72,81.93,63.2,71.09,B-,2.7
84.2,8,3.19,89.03,71.06,79.2,61.93,100.0,69.06,74.76,B,3.0
85.1,7,2.09,82.63,45.66,92.78,75.84,68.83,71.07,68.75,B-,2.7
91.4,13,1.5,72.94,38.34,81.94,94.36,86.05,54.28,59.45,C,2.0
67.2,1,3.23,73.29,47.28,85.87,49.29,87.37,71.86,66.98,C+,2.3
66.2,4,2.94,67.6,100.0,99.16,68.48,84.59,92.38,89.66,A,4.0
88.3,7,2.69,54.33,81.05,85.66,43.31,72.13,61.09,67.19,C+,2.3
